coupon_id	spu_code	coupon_title	plaza_id	plaza_name	coupon_type	sale_price	face_value	show_begin_time	show_end_time	coupon_channel	coupon_channel_id	coupon_status	c_title	c_subtitle	c_person_each_limit	c_person_daily_each_limit	c_use_period	c_use_rule	c_expired_after_hours	cs_stock_num	csr_store_id	store_name	business_name	business_id	now_date	city_id	city_name	op_time
62619	180110026	曲靖小程序专享5元停车代金券	1104893	曲靖万达广场	停车券	0.0	5.0	2018-12-31	2019-12-31	券列表	1010	已下架	曲靖小程序专享5元停车代金券		0	2	2	0	24	99000	100002044	曲靖万达广场停车场	停车	549	2019-03-06	530300	曲靖市	2019-03-07 10:27:53
62629	180110036	蒂奥莎伴手礼	1000906	齐齐哈尔万达广场	代金券	98.0	108.0	2019-01-01	2019-04-30	限时抢购	1011	已上架	蒂奥莎伴手礼	超值买二送一	1	1	1	0	0	50	100000327	蒂奥莎（齐齐哈尔万达店）	巧克力	110	2019-03-06	230200	齐齐哈尔市	2019-03-07 10:27:53
62649	180110059	研磨时光 牛排单人套餐	1102348	六安万达广场	代金券	49.9	120.0	2018-12-31	2019-06-30	券列表	1010	已上架	研磨时光 牛排单人套餐	小程序专享优惠，限时抢购，售完即止。	0	0	2	0	72	200	100014554	研磨时光（六安万达店）	西式简餐	387	2019-03-06	341500	六安市	2019-03-07 10:27:53
62649	180110059	研磨时光 牛排单人套餐	1102348	六安万达广场	代金券	49.9	120.0	2018-12-31	2019-06-30	限时抢购	1011	已上架	研磨时光 牛排单人套餐	小程序专享优惠，限时抢购，售完即止。	0	0	2	0	72	200	100014554	研磨时光（六安万达店）	西式简餐	387	2019-03-06	341500	六安市	2019-03-07 10:27:53
62666	180110076	2元停车券	1001007	佳木斯万达广场	停车券	0.0	2.0	2019-01-01	2019-03-31	券列表	1010	已上架	2元停车券		0	2	1	0	0	26000	100001390	佳木斯万达广场停车场	停车	549	2019-03-06	230800	佳木斯市	2019-03-07 10:27:53
62675	180110085	【米莫的茶】草莓脏脏茶	1105341	成都龙泉驿万达广场	礼品券	10.8	18.0	2018-12-31	2019-06-29	限时抢购	1011	已上架	【米莫的茶】草莓脏脏茶	小程序专享	0	0	2	0	72	550	100009181	米莫的茶（龙泉驿万达店）	果汁	272	2019-03-06	510100	成都市	2019-03-07 10:27:53
62675	180110085	【米莫的茶】草莓脏脏茶	1105341	成都龙泉驿万达广场	礼品券	10.8	18.0	2018-12-31	2019-06-29	券列表	1010	已上架	【米莫的茶】草莓脏脏茶	小程序专享	0	0	2	0	72	550	100009181	米莫的茶（龙泉驿万达店）	果汁	272	2019-03-06	510100	成都市	2019-03-07 10:27:53
62680	180110090	全洲拌饭   50元代金券	1000583	哈尔滨哈西万达广场	代金券	40.0	50.0	2018-12-31	2019-03-26	券列表	1010	已上架	全洲拌饭   50元代金券	全场通用   可叠加使用	0	0	1	0	0	144	100014802	全洲拌饭（哈西万达店）	韩式简餐	329	2019-03-06	230100	哈尔滨市	2019-03-07 10:27:53
62682	180110092	全洲拌饭   100元代金券	1000583	哈尔滨哈西万达广场	代金券	79.0	100.0	2018-12-31	2019-03-26	券列表	1010	已上架	全洲拌饭   100元代金券	全场通用   可叠加使用	0	0	1	0	0	99	100014802	全洲拌饭（哈西万达店）	韩式简餐	329	2019-03-06	230100	哈尔滨市	2019-03-07 10:27:53
62688	180110098	【米莫的茶】芒果火龙果茶昔	1105341	成都龙泉驿万达广场	礼品券	16.8	26.0	2018-12-31	2019-06-30	限时抢购	1011	已上架	【米莫的茶】芒果火龙果茶昔	小程序专享	0	0	2	0	72	559	100009181	米莫的茶（龙泉驿万达店）	果汁	272	2019-03-06	510100	成都市	2019-03-07 10:27:53
62688	180110098	【米莫的茶】芒果火龙果茶昔	1105341	成都龙泉驿万达广场	礼品券	16.8	26.0	2018-12-31	2019-06-30	券列表	1010	已上架	【米莫的茶】芒果火龙果茶昔	小程序专享	0	0	2	0	72	559	100009181	米莫的茶（龙泉驿万达店）	果汁	272	2019-03-06	510100	成都市	2019-03-07 10:27:53
62694	180110104	蒂奥莎巧克力礼盒	1000906	齐齐哈尔万达广场	代金券	238.0	298.0	2019-01-01	2019-04-30	券列表	1010	已上架	蒂奥莎巧克力礼盒	超值特惠 多种口味	0	0	1	0	0	50	100000327	蒂奥莎（齐齐哈尔万达店）	巧克力	110	2019-03-06	230200	齐齐哈尔市	2019-03-07 10:27:53
62696	180110106	蒂奥莎巧克力精致礼盒	1000906	齐齐哈尔万达广场	代金券	358.0	458.0	2019-01-01	2019-04-30	券列表	1010	已上架	蒂奥莎巧克力精致礼盒	超值特惠 多种口味	0	0	1	0	0	50	100000327	蒂奥莎（齐齐哈尔万达店）	巧克力	110	2019-03-06	230200	齐齐哈尔市	2019-03-07 10:27:53
62713	180110123	装修施工证件	1105202	衢州万达广场	代金券	10.0	10.0	2018-12-31	2019-04-30	券列表	1010	已上架	装修施工证件	非需勿拍	0	0	1	0	0	999	100001930	衢州万达商业管理有限公司	精品百货	305	2019-03-06	330800	衢州市	2019-03-07 10:27:53
62714	180110124	芭妮兰 免费修眉或化妆服务一次	1000905	上海金山万达广场	代金券	0.1	128.0	2018-12-31	2019-05-31	券列表	1010	已上架	芭妮兰 免费修眉或化妆服务一次	至金山万达广场客服台核销领取	1	1	2	0	72	200	100002413	金山万达广场（客服台）	其他	544	2019-03-06	310100	上海市	2019-03-07 10:27:53
62716	180110126	J·EYRE简&爱  美睫美甲	1000905	上海金山万达广场	代金券	1.0	100.0	2018-12-31	2019-03-30	券列表	1010	已上架	J·EYRE简&爱  美睫美甲	小程序专享	0	1	2	0	168	100	100000535	J·EYRE简&爱（金山万达店）	美睫美甲	361	2019-03-06	310100	上海市	2019-03-07 10:27:53
62717	180110127	赛百味 肉香满溢单人餐A	1000583	哈尔滨哈西万达广场	礼品券	29.0	45.0	2018-12-31	2019-04-30	券列表	1010	已上架	赛百味 肉香满溢单人餐A	原价45元  现价29元	5	1	1	0	0	400	100002758	赛百味（哈西万达店）	时尚轻餐	334	2019-03-06	230100	哈尔滨市	2019-03-07 10:27:53
62718	180110128	Plus Beauty美舱 眉型定制	1000905	上海金山万达广场	代金券	9.9	9.9	2019-01-01	2019-03-31	券列表	1010	已上架	Plus Beauty美舱 眉型定制	（眉型定制）小程序专享	1	1	2	0	72	100	100010460	Plus Beauty美舱（金山万达店）	其他护理店	76	2019-03-06	310100	上海市	2019-03-07 10:27:53
62732	180110142	手机的家 10元手机贴膜套餐	1000623	蚌埠万达广场	礼品券	10.0	20.0	2018-12-31	2019-03-30	券列表	1010	已上架	手机的家 10元手机贴膜套餐	小程序用户专享	3	1	2	0	72	30	100001257	手机的家	数码集合	313	2019-03-06	340300	蚌埠市	2019-03-07 10:27:53
62733	180110143	锅品面吧川香鸡公饭	1000623	蚌埠万达广场	礼品券	18.0	22.0	2018-12-31	2019-03-30	限时抢购	1011	已上架	锅品面吧川香鸡公饭	小程序用户专享	3	0	2	0	72	20	100004880	锅品面吧（蚌埠万达店）	中式快餐	388	2019-03-06	340300	蚌埠市	2019-03-07 10:27:53
